Satellites,Width,Dark,GoodSpine
8,28.3,no,no
0,22.5,yes,no
9,26,no,yes
0,24.8,yes,no
4,26,yes,no
0,23.8,no,no
0,26.5,no,yes
0,24.7,yes,yes
0,23.7,no,yes
0,25.6,yes,no
0,24.3,yes,no
0,25.8,no,no
11,28.2,no,no
0,21,yes,yes
14,26,no,yes
8,27.1,no,yes
1,25.2,no,no
1,29,no,no
0,24.7,yes,no
5,27.4,no,no
4,23.2,no,yes
3,25,no,yes
1,22.5,no,yes
2,26.7,yes,no
3,25.8,yes,no
0,26.2,yes,no
3,28.7,no,no
5,26.8,no,yes
0,27.5,yes,no
0,24.9,no,no
4,29.3,no,yes
0,25.8,no,no
0,25.7,no,yes
8,25.7,no,yes
5,26.7,no,yes
0,23.7,yes,no
0,26.8,no,no
6,27.5,no,no
0,23.4,yes,no
6,27.9,no,no
3,27.5,yes,no
5,26.1,no,yes
6,27.7,no,yes
5,30,no,yes
9,28.5,yes,yes
4,28.9,yes,no
6,28.2,no,no
4,25,no,no
3,28.5,no,no
3,30.3,no,yes
5,24.7,yes,no
5,27.7,no,no
6,27.4,no,yes
4,22.9,no,no
5,25.7,no,yes
15,28.3,no,no
3,27.2,no,no
3,26.2,yes,no
0,27.8,no,yes
0,25.5,yes,no
0,27.1,yes,no
5,24.5,yes,no
3,27,yes,yes
5,26,no,no
1,28,no,no
8,30,no,no
10,29,no,no
0,26.2,no,no
0,26.5,no,yes
3,26.2,no,no
7,25.6,yes,no
1,23,yes,no
0,23,yes,no
6,25.4,no,no
0,24.2,yes,no
0,22.9,no,yes
3,26,yes,yes
4,25.4,no,no
0,25.7,yes,no
5,25.1,no,no
0,24.5,yes,yes
0,27.5,yes,no
0,23.1,yes,no
4,25.9,yes,yes
0,25.8,no,no
3,27,yes,no
0,28.5,no,no
0,25.5,yes,yes
0,23.5,yes,no
0,24,no,yes
5,29.7,no,yes
0,26.8,no,yes
0,26.7,yes,no
0,28.7,no,yes
0,23.1,yes,no
1,29,no,yes
0,25.5,yes,no
1,26.5,yes,no
1,24.5,yes,no
1,28.5,yes,no
1,28.2,no,no
1,24.5,no,no
1,27.5,no,no
4,24.7,no,yes
1,25.2,no,yes
1,27.3,yes,no
1,26.3,no,no
1,29,no,no
2,25.3,no,no
4,26.5,no,no
3,27.8,no,no
6,27,no,no
0,25.7,yes,no
2,25,no,no
2,31.9,no,no
0,23.7,yes,no
12,29.3,yes,no
0,22,yes,no
5,25,no,no
6,27,yes,no
6,23.8,yes,no
2,30.2,no,yes
0,26.2,yes,no
2,24.2,no,no
3,27.4,no,no
0,25.4,no,yes
3,28.4,yes,no
4,22.5,yes,no
2,26.2,no,no
6,24.9,no,yes
6,24.5,no,yes
0,25.1,no,no
4,28,no,yes
10,25.8,yes,no
7,27.9,no,no
0,24.9,no,no
5,28.4,no,yes
5,27.2,yes,no
6,25,no,yes
6,27.5,no,no
7,33.5,no,yes
3,30.5,no,no
3,29,yes,no
0,24.3,no,yes
0,25.8,no,no
8,25,yes,no
4,31.7,no,yes
4,29.5,no,no
10,24,yes,no
9,30,no,no
4,27.6,no,no
0,26.2,no,no
0,23.1,no,yes
0,22.9,no,yes
0,24.5,yes,no
4,24.7,no,no
0,28.3,no,no
2,23.9,no,no
0,23.8,yes,no
4,29.8,yes,yes
4,26.5,no,no
3,26,no,no
8,28.2,no,no
0,25.7,yes,no
7,26.5,no,no
0,25.8,no,no
0,24.1,yes,no
2,26.2,yes,no
3,26.1,yes,no
4,29,yes,no
0,28,no,yes
0,27,yes,no
0,24.5,no,yes
